distance_sq, {'meter': 2.0}
v, {'second': -1.0, 'meter': 1.0}
ymax, {'meter': 1.0}
average, {'meter': 1.0}
distance, {'meter': 1.0}
delta_th, {'second': 1.0}
z_orr, {'quaternion': 1.0}
rot_, {'second': -1.0}
x_end, {'meter': 1.0}
TSAMPLETRAJ, {'second': 1.0}
posit2, {'meter': 1.0}
x_master, {'meter': 1.0}
lf, {'meter': 1.0}
Eigen::delta_p_est_W, {'second': 2.0}
actual_turn_axis, {'quaternion': 1.0}
theta, {'radian': 1.0}
delta_x, {'second': 1.0}
temp_evalu, {'meter': 1.0}
x_diff, {'meter': 1.0}
avg_angle_backward, {'radian': 1.0}
q3, {'quaternion': 1.0}
predicted, {'second': -1.0}
rp, {'radian': 1.0}
angle, {'radian': 1.0}
ping.header.stamp, {'second': 1.0}
fi, {'quaternion': 1.0}
wallTimeCycle, {'second': 1.0}
m_ball_conf, {'meter': 1.0}
target_x, {'meter': 1.0}
pt, {'second': 1.0}
x_history, {'meter': 1.0}
this.moveRightPointCoordinateY, {'meter': 1.0}
time1, {'second': 1.0}
quat_y, {'quaternion': 1.0}
g_lon_ref, {'degree_360': 1.0}
final_goal_y_, {'meter': 1.0}
odomMira.pose.x, {'meter': 1.0}
fcu_timer, {'second': 1.0}
detectedPersons.header.stamp, {'second': 1.0}
d_rot1_noise, {'radian': 1.0}
vr, {'second': -1.0, 'meter': 1.0}
tfVec, {'meter': 1.0}
msg.data, {'meter': 1.0}
wx, {'meter': 1.0}
pan4B, {'radian': 1.0}
dy, {'meter': 1.0}
velAngularWheelL_msg.data, {'second': -1.0, 'meter': 1.0}
first_check, {'second': 1.0}
u, {'radian': 1.0}
tz2, {'meter': 1.0}
msg.header.stamp, {'second': 1.0}
yaw*, {'radian': 1.0}
y, {'radian': 1.0}
dt, {'second': 1.0}
last_measure, {'meter': 1.0}
z, {'radian': 1.0}
dist, {'meter': 1.0}
best_deltaT, {'second': 1.0}
approx_x, {'meter': 1.0}
irMax, {'meter': 1.0}
diff, {'meter': 1.0}
b, {'meter': 1.0}
acc_x, {'meter': 1.0}
update, {'meter': 1.0}
roll*, {'radian': 1.0}
angle, {'radian': 1.0}
yaw, {'radian': 1.0}
F, {'second': 1.0}
t, {'second': 1.0}
y_old, {'meter': 1.0}
e3, {'quaternion': 1.0}
image_msg.header.stamp, {'second': 1.0}
q2, {'radian': 1.0}
right, {'second': -1.0}
move_base_goal.target_pose.pose.position, {'meter': 1.0}
diff, {'second': 1.0}
update.latitude, {'degree_360': 1.0}
image_raw_buf.header.stamp, {'second': 1.0}
image_msg.header.stamp, {'second': 1.0}
object_finder_goal_.surface_ht, {'meter': 1.0}
time2, {'second': 1.0}
x_master, {'meter': 1.0}
percentage, {'second': 1.0}
quat_z, {'quaternion': 1.0}
dt, {'second': 1.0}
v1, {'second': -1.0}
pub_BR.data, {'second': -1.0, 'meter': 1.0}
T.x, {'meter': 1.0}
xPercieved, {'meter': 1.0}
oerr, {'quaternion': 1.0}
max_speed, {'second': -1.0, 'meter': 1.0}
demoStartTime, {'second': 1.0}
acx, {'meter': 1.0}
g_p_gps.R, {'meter': 2.0}
t_cruise, {'meter': 1.0}
pitch, {'radian': 1.0}
simulink, {'second': 1.0}
zx_angle, {'radian': 1.0}
acceleration, {'second': -1.0}
oz, {'meter': 1.0}
heading_diff, {'radian': 1.0}
tDepth, {'second': 1.0}
W_a, {'second': -1.0}
secs_end_RRT, {'second': 1.0}
msg.header.stamp, {'second': 1.0}
input_vector, {'second': 1.0}
elapsed, {'second': 1.0}
phi, {'radian': 1.0}
last_hit, {'second': 1.0}
yaw, {'radian': 1.0}
alpha_msg.data, {'second': -1.0}
angle, {'radian': 1.0}
clustering_time, {'second': 1.0}
range, {'meter': 1.0}
myLineAngle, {'radian': 1.0}
dt, {'second': 1.0}
camLongMin, {'radian': 1.0}
timeSinceLastUpdate, {'second': 1.0}
state, {'quaternion': 1.0}
tr_delta, {'radian': 1.0}
dx, {'meter': 1.0}
laser_scan_ranges, {'meter': 1.0}
a, {'radian': 1.0}
msg.motorRightSpeed, {'second': -1.0}
frequency, {'second': -1.0}
w, {'quaternion': 1.0}
rotate, {'second': -1.0}
pitch, {'radian': 1.0}
theta16s, {'radian': 1.0}
output, {'second': -1.0}
pAngle, {'radian': 1.0}
required_decel, {'second': -1.0, 'meter': 1.0}
dZ, {'meter': 1.0}
pos_cmd, {'radian': 1.0}
gamma, {'radian': 1.0}
roll, {'radian': 1.0}
delta, {'radian': 1.0}
current_linear_velocity, {'second': -2.0}
msg.header.stamp, {'second': 1.0}
phi, {'radian': 1.0}
duration, {'second': 1.0}
trip_len, {'meter': 1.0}
delta_y, {'meter': 1.0}
current_y_coordinate_value_in_pixel, {'meter': 1.0}
lene1_sq, {'meter': 2.0}
sec, {'second': 1.0}
sonar_4, {'meter': 1.0}
y_end, {'meter': 1.0}
cur_dist, {'meter': 1.0}
info_left.header.stamp, {'second': 1.0}
pose_stamped.stamp_, {'second': 1.0}
acy, {'meter': 1.0}
qw, {'quaternion': 1.0}
insert_time, {'second': 1.0}
ld.data, {'second': -1.0, 'meter': 1.0}
theta, {'radian': 1.0}
h_update, {'quaternion': 1.0}
m_startZ, {'meter': 1.0}
time_expire, {'second': 1.0}
secs, {'second': 1.0}
origin, {'meter': 1.0}
__ros_log_delayed_throttle__last_hit__, {'second': 1.0}
cl, {'radian': 1.0}
dir, {'radian': 1.0}
pf_End, {'second': 1.0}
enc_vel_, {'second': -1.0, 'meter': 1.0}
delta_z, {'meter': 1.0}
angular, {'second': -1.0}
acx, {'meter': 1.0}
cmd_steer_angle, {'radian': 1.0}
mean.theta, {'radian': 1.0}
dy, {'meter': 1.0}
delta.theta, {'radian': 1.0}
toTarget, {'meter': 1.0}
theta, {'radian': 1.0}
startedLogClock, {'second': 1.0}
x, {'second': 1.0}
start, {'second': 1.0}
angle, {'radian': 1.0}
closestRanged, {'meter': 1.0}
msg.header.stamp, {'second': 1.0}
delta_rot2_noise, {'radian': 1.0}
diff, {'second': 1.0}
rot_, {'second': -1.0}
roll, {'radian': 1.0}
myLineAngle, {'radian': 1.0}
ox, {'meter': 1.0}
acute_angle, {'radian': 1.0}
right_x, {'meter': 1.0}
robot_orient, {'quaternion': 1.0}
turn_radius_, {'meter': 1.0}
max_delta_, {'second': 1.0}
dt, {'second': 1.0}
gz_acceleration_, {'second': -1.0}
horizon, {'second': 1.0}
wy, {'meter': 1.0}
a_x, {'second': -2.0}
wy, {'meter': 1.0}
bcx, {'meter': 1.0}
info_right_.header.stamp, {'second': 1.0}
dt, {'second': 1.0}
t_ramp, {'meter': 0.5}
dx, {'meter': 1.0}
body_scalar_msg.header.stamp.sec, {'second': 1.0}
timestampSample, {'second': 1.0}
range_scan_max, {'meter': 1.0}
Veloy_twist, {'second': -1.0, 'meter': 1.0}
alt, {'meter': 1.0}
sqw, {'quaternion': 1.0}
vy, {'second': -1.0, 'meter': 1.0}
angular, {'second': -1.0}
pitch, {'radian': 1.0}
pitch*, {'radian': 1.0}
a, {'radian': 1.0}
roll*, {'radian': 1.0}
z_axis.stamp_, {'second': 1.0}
distance, {'meter': 1.0}
temp_Front_Left_Track_Speed, {'second': -1.0, 'meter': 1.0}
result, {'radian': 1.0}
gds_t1, {'second': 1.0}
y_rob_m_, {'second': 1.0}
goalX, {'meter': 1.0}
currY, {'meter': 1.0}
y_start, {'meter': 1.0}
roll, {'radian': 1.0}
theta, {'radian': 1.0}
last_hit, {'second': 1.0}
roll_ref, {'radian': 1.0}
acx, {'meter': 1.0}
theta, {'radian': 1.0}
angle_change, {'radian': 1.0}
curTime, {'second': 1.0}
epwant, {'second': -1.0}
r, {'meter': 1.0}
odom_y_, {'meter': 1.0}
curDist, {'second': 1.0}
oy, {'meter': 1.0}
angle_turned, {'quaternion': 1.0}
theta, {'radian': 1.0}
x_end, {'meter': 1.0}
time, {'second': 1.0}
y, {'second': 1.0}
delta_t, {'second': 1.0}
rad, {'radian': 1.0}
tfVec, {'meter': 1.0}
roll, {'radian': 1.0}
angle, {'radian': 1.0}
y_end, {'meter': 1.0}
ox, {'radian': 1.0}
diagnostics, {'second': -1.0}
des_state_vel_, {'second': -1.0, 'meter': 1.0}
total_sbpl_solve_time, {'second': 1.0}
prev_time, {'second': 1.0}
tmpTheta, {'radian': 1.0}
myTransRatio, {'second': -1.0, 'meter': 1.0}
orientation_y_, {'quaternion': 1.0}
pos_err, {'meter': 1.0}
m_center, {'meter': 1.0}
x1, {'meter': 1.0}
unitz2, {'meter': -1.0}
errorz, {'meter': 1.0}
endyangle, {'radian': 1.0}
robot_altitude, {'meter': 1.0}
wcm_o.y, {'quaternion': 1.0}
alpha, {'radian': 1.0}
m_Imu.x, {'quaternion': 1.0}
dy, {'second': -1.0, 'meter': 1.0}
distance, {'meter': 1.0}
x_nearest, {'meter': 1.0}
des_state_x_, {'meter': 1.0}
prev_time, {'second': 1.0}
y, {'second': 1.0}
v2_y, {'meter': 1.0}
theta, {'radian': 1.0}
ini_pos_y, {'meter': 1.0}
x_end, {'meter': 1.0}
dy, {'meter': 1.0}
x110, {'radian': 1.0}
trajectory_point1.time_from_start, {'second': 1.0}
yaw, {'radian': 1.0}
decel_distance, {'second': -2.0, 'meter': 2.0}
odometer_distance_, {'meter': 1.0}
recv_rate, {'second': -1.0}
min_disparity, {'meter': 1.0}
camera, {'meter': 1.0}
dy, {'meter': 1.0}
robot_pose_vy_, {'second': -1.0}
y, {'meter': 1.0}
head_z_tmp, {'meter': 1.0}
y_cellCenter, {'meter': 1.0}
previous_velocity_x, {'second': -1.0}
angle, {'radian': 1.0}
viz.force_vector.x, {'meter': 4.0}
theta, {'radian': 1.0}
h, {'radian': 1.0}
target_from_frame, {'meter': 1.0}
delta, {'radian': 1.0}
last_goal_starting_time_, {'second': 1.0}
z_vals, {'meter': 1.0}
prev_time, {'second': 1.0}
delta_x, {'meter': 1.0}
yM, {'meter': 1.0}
